restaurant_type,location,season,food_cost,labor_cost,rent_cost,marketing_spend,utilities_cost,maintenance_cost,technology_spend,delivery_spend,num_employees,seating_capacity,avg_ticket_size,daily_covers,online_orders_pct,customer_rating,years_in_business,wastage_pct,revenue,total_cost,profit,profit_tier
Buffet,Airport,Autumn,43667.29585411214,14236.56514590888,30926.790745452323,10550.221944974595,5776.090846380053,4566.377713629508,3500.946015156549,13415.960224918153,77.0,234.0,113.57317983543471,57.0,49.9229445139185,4.3705685911913665,14.0,2.685214283864923,422771.76239916513,126640.24849053219,296131.5139086329,High Profit
Food Truck,Residential,Spring,55319.80947155818,55857.9719272166,38616.5342129437,18566.272951522085,9840.000705580404,2759.67871943772,1727.055699804015,8647.15854046571,48.0,249.0,95.19738779661186,624.0,32.47839299419073,3.221401759439457,18.0,4.522072742989535,1362760.6249206904,191334.48222852842,1171426.142692162,High Profit
Casual Dining,Suburb,Summer,10037.962767125673,27680.995810578243,4219.632469804163,17867.507489683674,2185.1228368387265,1348.0193644909043,4054.3418551894033,11293.766934723444,73.0,114.0,97.3606652986915,774.0,56.22067839477557,4.344557461807584,4.0,1.944811863350079,3036354.544741564,78687.34952843424,2957667.1952131297,High Profit
Casual Dining,Mall,Autumn,9058.660085273705,12508.759147212417,15139.61602550704,6923.396358479101,6246.304228647496,1618.5816896794308,1814.6141451489018,2259.6984680991245,26.0,273.0,17.514889223805575,707.0,28.980130768924028,4.6423679751627205,12.0,12.686899269019518,522128.06375037425,55569.63014804721,466558.433602327,High Profit
Casual Dining,Downtown,Autumn,48985.08290304104,46475.714504876385,20109.036108074673,16191.543515581323,8075.1296388058945,4562.205830919578,245.8296235696622,11067.991329890125,59.0,112.0,58.38329474788586,343.0,17.143328681013404,4.418453951498689,19.0,3.3532230967924614,940150.0120128652,155712.5334547587,784437.4785581065,High Profit
Casual Dining,Downtown,Winter,71547.2007878156,15491.628229307156,13771.014078899087,17876.61602129443,6471.283355778591,4602.204762275515,1750.8316987661135,1066.163141502383,77.0,265.0,57.42258431399833,769.0,45.63640405952126,3.0050722658591402,21.0,10.207205911204426,1718425.3338594937,132576.9420756389,1585848.391783855,High Profit
Fast Food,Downtown,Winter,44636.150071966025,11181.168679095734,13772.001519553893,12555.971936950913,9020.893752097218,6361.538092208141,4266.596915652742,9495.24937668487,77.0,40.0,61.87557238469875,618.0,42.73253375088079,3.2560178616303603,19.0,14.445129245193348,1207630.20515698,111289.57034420951,1096340.6348127706,High Profit
Fast Food,Downtown,Spring,70836.43794275536,35083.708303158404,8692.8870542172,11333.794257808251,6206.72582317839,2134.2774167859634,4391.853514694693,10021.033638734938,34.0,42.0,96.5612293253921,418.0,48.89887726924454,3.4228490691105296,15.0,11.007997387463435,1477105.260188146,148700.7179513332,1328404.5422368129,High Profit
Casual Dining,Suburb,Spring,65824.34547914294,41275.22955162068,32892.15331495789,13601.791578095446,8351.166215277786,7343.500381482747,4680.12132697313,9970.978146124373,47.0,186.0,30.356592632197202,36.0,54.62668369228558,3.1913989300626335,8.0,9.93036898897154,157611.12383027276,183939.28599367494,-26328.162163402187,Loss
Fast Food,Downtown,Summer,10689.033934619056,35465.076217900234,36506.62368661261,3679.682820834789,2170.072681514561,4245.1808660667175,2547.44447447143,879.8617907921463,37.0,298.0,25.635831196081707,683.0,11.699984942528122,3.6332035826949975,4.0,2.8507163572919763,706012.2005961044,96182.97647281154,609829.2241232928,High Profit
Casual Dining,Downtown,Summer,20146.810578926743,40421.1069899997,5128.43966372652,2203.201686083901,2989.6069963281084,1792.546972962032,4787.306921016995,5762.868192430245,41.0,291.0,103.65758801133038,141.0,19.842253459041256,3.849386945766164,17.0,10.797968062035535,722646.7084010293,83231.88800147426,639414.8203995551,High Profit
Casual Dining,Residential,Autumn,54328.30018665069,9584.868701541433,7886.158646815347,16492.93036185874,4718.6514852011405,3423.5884897064493,2545.974702717154,11165.93339739534,5.0,60.0,101.00418076278763,443.0,22.83873957919618,2.836643154998604,12.0,2.366393078262083,1426289.847405737,110146.4059718863,1316143.4414338507,High Profit
Casual Dining,Downtown,Winter,38262.60369125312,30133.028159394118,10681.213995130422,11679.86142855586,8590.368262429722,7402.202321917673,854.1857329778641,11952.267141462196,41.0,10.0,81.61339876557602,755.0,14.861212690633014,2.5461627371951496,12.0,1.2637991602491736,2304504.395771426,119555.73073312099,2184948.6650383053,High Profit
Fast Food,Airport,Summer,26802.486023519043,23350.06271304685,21341.524386458426,2888.77906153769,4552.314224652087,3929.6210343615553,2559.981137172962,6232.621062587849,3.0,277.0,12.193456775657856,52.0,54.23984573433075,3.4970000674921886,14.0,17.149266716504016,97239.91973978563,91657.38964333644,5582.530096449191,Low Profit
Cafe,Downtown,Autumn,36397.53920359843,58482.01112568694,32064.53726543675,8618.201529324953,6460.859908474725,7022.777861736552,4356.209685711483,2430.259199976656,13.0,238.0,87.80586065666546,514.0,28.74888846685406,4.73425940587518,18.0,18.666754160608544,1633937.2424738372,155832.3957799465,1478104.8466938906,High Profit
Casual Dining,Residential,Autumn,38389.97347029758,5828.5642482296425,4715.309941068108,6315.570243279609,4260.210218242793,1446.695334299784,3949.880245716601,7491.698410433543,53.0,245.0,17.40781617973138,228.0,53.39188457326512,4.549772338670708,22.0,1.042653834383497,227662.87912641617,72397.90211156766,155264.9770148485,High Profit
Fast Food,Residential,Spring,73291.41881161973,20002.769574415615,26198.893455020287,17571.820107400843,8154.343696612426,7328.875509152509,2226.86055043708,9753.959117962808,46.0,166.0,50.63912430159755,589.0,30.180781213922646,4.777168461924711,25.0,13.226141765552635,867084.8753532761,164528.9408226213,702555.9345306548,High Profit
Fast Food,Airport,Winter,12759.371277871476,56686.145063228156,7674.747338275952,10390.793532347052,2402.732069356127,3558.8266828956016,1141.4624287396018,13806.019989982902,20.0,154.0,101.52710554481946,56.0,28.46358437664363,3.9610281509360696,10.0,5.403972804696096,280213.4719404837,108420.09838269686,171793.37355778686,High Profit
Fine Dining,Airport,Autumn,25979.806010571127,59059.28244150678,38915.36857929808,11761.49464901324,6140.810041379577,7501.790159539963,2947.4860761877544,10220.167386757814,20.0,19.0,8.521243147330093,639.0,20.119716095673475,4.309331643529555,9.0,9.822728220776835,455960.8530399492,162526.20534425435,293434.6476956948,High Profit
Fast Food,Downtown,Spring,45317.36124370355,50019.39164044661,36153.390372366186,5088.1628961026145,5989.956789213536,6955.412451806184,4663.004306965931,12339.91135425791,47.0,267.0,77.9418012642687,687.0,29.16964568983242,4.12737281503697,21.0,10.690582767898393,1891470.1647646385,166526.5910548625,1724943.573709776,High Profit
Casual Dining,Residential,Autumn,57371.51949729437,7331.899908935331,38084.14825993857,16081.73917803115,4330.797339171878,5347.737193686809,969.7118610058778,3971.206556311216,38.0,165.0,68.52384254827618,189.0,16.797695334103572,3.6994361221458583,20.0,10.568799401059128,484315.81927772885,133488.75979437522,350827.05948335363,High Profit
Fine Dining,Residential,Winter,52297.79667194327,34997.2366155818,6034.2273481429065,18636.97510813421,7198.716537773911,5448.202052233553,4152.497031044176,12498.587022932232,13.0,48.0,48.34140309974173,57.0,34.1162917325189,3.0865156487815026,22.0,13.173155658517528,234456.33117869624,141264.23838778606,93192.09279091019,Medium Profit
Buffet,Residential,Autumn,75623.20533030458,25807.010582216626,20545.382548459293,15953.63979962021,770.5277762332217,1849.7623054398152,821.8905931108196,9179.568947775766,37.0,234.0,29.50498213653288,433.0,9.49661649805941,2.7283651863694804,20.0,4.868500849116679,455089.7333206466,150550.98788316033,304538.74543748633,High Profit
Buffet,Airport,Autumn,64670.66936146049,48967.79635863789,8279.36954593826,10110.753292356832,8494.249891287056,4902.072275598792,4606.04429568177,8234.842660534894,66.0,155.0,24.052100488524232,142.0,48.82835486649798,4.405501516384316,15.0,15.273429791943178,273762.792459462,158265.79768149598,115496.99477796603,Medium Profit
Food Truck,Suburb,Summer,46780.763148082275,6136.381427565997,24813.51092976032,16784.234169395335,3805.669680936426,4486.065460755292,3496.9553390451765,4002.953612677604,59.0,79.0,101.60373801647413,745.0,10.688128397853031,4.662585667369167,4.0,5.211697965650839,2059752.5021895121,110306.53376821842,1949445.9684212937,High Profit
Casual Dining,Residential,Summer,21101.201875513063,14236.33884374802,10844.086281150836,4165.197987666985,8033.714410961105,2806.346883455523,634.9887639694937,3058.433996054785,8.0,297.0,17.72190829134542,144.0,29.692266473966747,3.2377931159147044,14.0,17.999587786902985,128819.74573106987,64880.30904251982,63939.43668855005,Medium Profit
Fine Dining,Suburb,Spring,38815.56735516799,30884.118774689876,31283.97736802089,2711.56637075911,3398.0651700608455,4143.847889137956,1091.8815822113042,8158.153057011792,64.0,74.0,115.99434080413684,498.0,14.503729015607195,4.398035407030112,4.0,2.4390884294316,2525091.501904616,120487.17756705976,2404604.3243375565,High Profit
Cafe,Mall,Autumn,57003.668314585804,11985.916788026136,26472.098824687375,9045.272845647984,2285.111437413541,7447.3197058201895,4641.916424581932,13371.584581037687,13.0,86.0,27.55104361656542,533.0,52.60359351998526,4.652461056820309,4.0,2.412993076273601,586640.5221961992,132252.88892180062,454387.6332743985,High Profit
Fast Food,Downtown,Spring,67847.16311270636,42484.763133575,23720.974582916213,4039.9221080328384,4200.149994306288,241.38417757337174,2587.0755558880414,3530.6686444686757,33.0,103.0,87.95590112458409,419.0,15.158704568000537,4.855551705032227,27.0,2.6720414878280954,1326910.5774782202,148652.1013094668,1178258.4761687533,High Profit
Casual Dining,Residential,Winter,76980.21683167905,49783.7316049685,33358.632002682534,5553.630844229248,8074.986053408566,3453.56792382131,2322.10492827737,4180.393000196299,62.0,77.0,69.08310816681973,50.0,52.02931405050131,2.9211969482483298,24.0,13.643826838377063,162237.10794857307,183707.26318926286,-21470.155240689783,Loss
Fast Food,Downtown,Spring,50408.95746034382,43157.633936775674,21010.375171728057,11909.776794284677,7183.421335211987,2802.382022012765,385.53251438831205,14218.813952411221,26.0,143.0,48.05320837331091,367.0,3.4338973613508683,3.219912898044116,8.0,2.9916368682454832,681902.079200665,151076.89318715653,530825.1860135085,High Profit
Fine Dining,Downtown,Autumn,44518.952547832436,28096.171677478993,12254.366133136014,8376.110718782973,4309.796417726733,7697.602325874739,511.7949779263194,399.10771628292764,73.0,117.0,110.13625656843568,586.0,6.789545019816097,3.559314179916783,2.0,4.625669045170827,3236999.9573169714,106163.90251504115,3130836.05480193,High Profit
Buffet,Mall,Summer,6326.894234086123,53068.09697640083,25586.80887840335,17384.626452403594,9409.75288190403,7796.375004028406,3489.078095060032,7280.836767590296,42.0,134.0,8.927597905976379,576.0,2.4525443743842334,2.774594332816012,1.0,7.205768604319598,326982.0765087977,130342.46928987667,196639.60721892104,High Profit
Casual Dining,Highway,Summer,10407.430186263497,10848.109508036678,38368.38002351663,4899.440736764991,4383.3737655833065,4768.152177961225,3906.975986463941,7931.506808211829,8.0,61.0,93.20718893918931,347.0,9.454558908694363,3.029066497424224,19.0,13.554639013300147,1078272.8438675746,85513.36919280209,992759.4746747725,High Profit
Cafe,Mall,Spring,16707.87482280502,17839.299282243504,24844.055807079818,19937.41862983803,3832.150918786748,4490.0543538371985,4348.331899162094,10135.871792427364,47.0,253.0,90.05832505804226,529.0,31.989366610958125,2.624586959812098,13.0,12.802149227189165,1690866.260704164,102135.05750617977,1588731.2031979843,High Profit
Casual Dining,Downtown,Summer,9106.994839222105,30903.762059381286,25925.539063498367,7508.171610564685,1874.8296540641445,7245.057475122093,2563.7684339058214,2909.7871369452732,49.0,254.0,101.09452670670782,462.0,35.43643198299054,4.316944800469513,16.0,17.702325573502407,2224894.0704132295,88037.91027270378,2136856.1601405255,High Profit
Fast Food,Downtown,Autumn,35064.74291036949,6496.300136117363,37520.52588786724,10550.355587855172,1167.6471345796735,251.03129536391583,1710.0106410553503,8571.191614774372,63.0,219.0,107.5461565202437,479.0,7.314243564531191,3.909809846885144,25.0,3.6936327482994233,1770444.3373817063,101331.80520798259,1669112.5321737237,High Profit
Fast Food,Highway,Autumn,30265.89088541541,8454.089549293196,21580.453811694308,3080.476141269958,3824.0728365890905,4585.788702794057,3165.0608818080977,1641.9796118823333,34.0,210.0,57.59130769760091,644.0,11.125484137115638,3.9826159018836877,16.0,4.155324921982823,894136.8315162507,76597.81242074644,817539.0190955043,High Profit
Casual Dining,Residential,Winter,52801.56184012946,25654.272188175208,39861.58354516211,11796.330748549728,1374.020768905956,392.13278490842686,3132.5125572401776,4005.1237343570638,70.0,262.0,82.63525648891104,219.0,36.8849161673864,4.414067196937218,5.0,5.474661692299861,577556.412870036,139017.53816742814,438538.87470260786,High Profit
Buffet,Highway,Summer,45174.88309500521,56801.51891386958,8067.157654256867,19245.055441480465,4895.032099943159,7751.665716273252,269.86535169098715,226.61950950562837,67.0,132.0,71.15173265843751,33.0,11.480003216983574,2.7069620379364325,8.0,6.772902936158751,178532.11489776208,142431.79778202515,36100.31711573692,Low Profit
Cafe,Mall,Summer,49697.80695408948,54779.580516789014,22407.514034468168,15113.256668601724,8670.090665292784,2697.244547262164,4700.133725217351,6801.157514884191,58.0,109.0,73.04799437889591,641.0,45.56285547729639,2.772069103635831,27.0,14.49611971524591,1819188.4779299833,164866.78462660487,1654321.6933033783,High Profit
Buffet,Residential,Winter,40398.29022032406,29560.566921869435,10090.231958546494,5259.063922915607,5023.108200599909,4262.250154340536,3248.545338358078,2626.6551819154515,35.0,56.0,7.8713263840572,236.0,55.00252401912171,2.5636263897954668,12.0,10.828750312904315,108766.54825451925,100468.71189886956,8297.836355649692,Low Profit
Food Truck,Suburb,Spring,25830.286141569286,11103.037037111615,19226.40199694632,9130.928361264225,5065.519293580064,3457.034335858683,131.69599610201004,1451.304592070924,79.0,54.0,115.72546989203639,691.0,31.841601799202376,2.8631051854763894,28.0,11.164896662397341,1956080.074673616,75396.20775450312,1880683.8669191129,High Profit
Fast Food,Mall,Winter,76461.89862098578,13152.136389630828,8481.808561067188,8795.949623566426,2907.685899182368,7170.268168293436,4802.207597114525,5164.6366187938265,75.0,78.0,23.6407589779887,788.0,50.96507686029627,3.607056899275549,5.0,6.486187783595037,584354.2840888682,126936.59147863438,457417.6926102338,High Profit
Buffet,Mall,Summer,11480.686982010422,24520.125112720256,10456.09331798063,2409.981468053945,2079.807971509768,7998.579964435639,4767.9896703958275,1188.2653085401696,40.0,296.0,52.65171560323613,562.0,5.0543126939179945,2.9860421716663077,10.0,15.087109948054499,1197668.1829837011,64901.52979564665,1132766.6531880544,High Profit
Fine Dining,Suburb,Spring,75416.82495989803,14974.229119946538,10010.401886026013,17774.078523214488,2612.1241558514216,733.426228292586,4735.00678291579,9966.198834693318,63.0,108.0,85.5469979759649,230.0,54.334558228894196,4.385855135581691,13.0,9.78846941504745,1041862.6930108333,136222.29049083818,905640.4025199951,High Profit
Casual Dining,Highway,Autumn,28342.8535148551,7729.608880251536,14161.190882912302,7938.392974512888,5895.890555736017,5909.842860669883,4455.604044771908,3013.0205296482327,57.0,237.0,29.504115975901822,326.0,3.709334766963861,3.8665442951526154,5.0,9.912663701253942,325378.8242900308,77446.40424335786,247932.42004667295,High Profit
Fine Dining,Mall,Autumn,43449.6084025473,41405.31656063983,7114.991311715784,10138.062416529847,6122.034586746733,3070.3892667963787,1004.7165117025625,10654.09187889852,26.0,138.0,18.355373076277218,339.0,0.6932603123450365,4.721781889316446,1.0,5.5580816267473425,383646.3647801907,122959.21093557696,260687.15384461373,High Profit
Casual Dining,Suburb,Winter,13163.17421206596,36142.572354183605,32755.002649050613,6179.331610093088,2591.7840304183746,1284.7687740376255,4888.147169893211,12597.851259964473,38.0,258.0,108.00964166079991,681.0,54.259469425718606,3.8826323224822983,25.0,6.4905290842212455,2281480.047037574,109602.63205970696,2171877.414977867,High Profit
Casual Dining,Suburb,Autumn,10319.830127825695,19603.91520475085,10385.672697104113,3471.714722360882,4289.743555200983,3362.4127311568036,3833.469006098897,11119.479287168857,57.0,125.0,71.75274382721231,778.0,10.11839952205894,4.509816817165992,9.0,11.123615667466716,1888839.5891400496,66386.23733166709,1822453.3518083827,High Profit
Casual Dining,Downtown,Summer,37215.90865389522,47400.05780548134,17829.621815448256,18091.157085543735,5902.485501671808,7985.543715488805,3239.709415063319,11442.766142013963,40.0,125.0,20.49159051680989,419.0,48.06332407628038,4.6895314648294075,13.0,2.168106905700771,609034.0483287249,149107.25013460644,459926.7981941185,High Profit
Food Truck,Mall,Winter,60627.30322847586,47229.08659923256,2610.1712527409236,1229.2508143719638,7724.389365844529,2989.024934944594,4719.085996222409,9656.481893027474,79.0,10.0,105.39680524248334,159.0,27.87409146328109,4.301374197968987,26.0,18.859961295212717,409315.3430677264,136784.7940848603,272530.5489828661,High Profit
Casual Dining,Downtown,Summer,25202.35831614117,30987.112302127425,5985.498644707721,8297.650275664546,3537.8089204031457,2363.716010023547,1967.327637432937,5644.5060890368095,70.0,196.0,26.69673771345492,556.0,23.170791332291905,4.252654824133576,11.0,11.335083819105963,803974.2784377949,83985.9781955373,719988.3002422575,High Profit
Casual Dining,Downtown,Summer,47176.091670149006,8502.35566417795,36058.33221570356,14748.560825466157,3077.890740144774,6800.136721879311,4663.708062121055,5228.169987838781,46.0,97.0,80.60913583636271,477.0,57.78399813090992,3.0782352442386314,5.0,13.094142920165735,1917538.3882527857,126255.24588748059,1791283.142365305,High Profit
Fast Food,Airport,Spring,25898.775539211376,55352.75580577738,33812.08774593692,6522.729404916888,7439.43649355686,6969.916398622961,3067.8540628670116,8534.130608772282,67.0,67.0,103.38747313177808,586.0,44.80443913295132,3.6586841006274824,19.0,1.5256084880969463,2335041.591327323,147597.68605966168,2187443.9052676614,High Profit
Casual Dining,Airport,Spring,34145.97956697806,41113.649841835366,33955.0531932974,9197.557835763793,5381.215622007936,2843.1794076893298,2938.5570943907296,3720.7282040626365,21.0,92.0,76.2632720664345,94.0,48.46773364187726,2.932587591724804,29.0,1.7991001720838522,483176.1799482133,133295.92076602526,349880.259182188,High Profit
Food Truck,Highway,Spring,72983.47388553685,17081.896691661204,17631.429855684568,11507.306395165246,8639.092616347443,2529.65049677696,3265.1619434036365,5169.711995451114,11.0,251.0,5.802861526980257,346.0,16.604140683477752,2.8887748597371137,29.0,19.28160792264029,77401.37986502048,138807.723880027,-61406.34401500653,Loss
Fine Dining,Mall,Autumn,69187.97191211896,37795.90918095092,7378.170356363239,19904.091438598243,2504.528693679519,5248.795524869853,3795.385677723245,2329.497627217726,7.0,210.0,79.70861372990979,507.0,4.440641838601945,3.0288048006730173,8.0,3.991471048029203,1980694.9316070336,148144.35041152168,1832550.5811955119,High Profit
Buffet,Residential,Spring,43701.31575632224,26086.225262174925,6099.991816784012,15286.876087116894,7823.957322866873,1800.392173020757,2280.108496499253,11702.059488630231,34.0,221.0,70.29060400343975,193.0,17.74209285570746,3.1535340440263813,9.0,4.066565045803256,505467.12540070905,114780.92640341517,390686.1989972939,High Profit
Cafe,Residential,Summer,22857.922060405905,39214.9294649496,25012.903542427186,19358.749788257413,2039.3183204663396,3972.746140457007,4904.961089547814,11034.365389915154,79.0,123.0,65.73018464879507,444.0,52.05277478343474,4.423598433220292,7.0,17.781117762494556,986898.5296027873,128395.89579642641,858502.6338063609,High Profit
Casual Dining,Highway,Winter,19488.793454976712,30010.641056668188,33471.34368652792,14016.336742792531,6055.326822719406,1302.4807948521327,533.7420878517019,7548.841243473541,27.0,162.0,40.205845100954164,382.0,49.69011973053304,4.823155524618466,3.0,16.134348420132337,488110.1365352876,112427.50588986212,375682.63064542547,High Profit
Fine Dining,Mall,Winter,76556.55147767857,30671.912563664806,36204.350321329235,5746.531317803156,3194.5202289895205,2577.087270216245,4577.737753576864,5543.595238911062,62.0,59.0,77.04502814150824,56.0,49.2973527509711,2.707498679400916,9.0,13.44141342985172,237986.78021667033,165072.2861721695,72914.49404450084,Medium Profit
Food Truck,Suburb,Summer,20203.744738301564,44945.27923871948,12971.802721288608,6106.031776280562,1460.364097196093,2520.3556820502085,3321.3732139062045,10450.111926734893,79.0,98.0,6.8995793480771805,602.0,28.466037993410115,3.676658822018537,22.0,14.305221695145654,151968.6983353416,101979.06339447763,49989.63494086398,Low Profit
Cafe,Residential,Autumn,65612.62331844043,37982.36752564662,14199.009653671235,16538.053915661265,6359.263743387855,5620.219727073678,4558.590831133699,1270.1515468883633,37.0,57.0,64.5876663157863,91.0,16.79931352457143,4.702988503462073,8.0,1.4182705731294534,255222.9892101776,152140.2802619032,103082.7089482744,Medium Profit
Cafe,Suburb,Winter,32672.765715165297,7557.303400920862,5833.312960734137,8840.413078335165,5314.590119012583,2401.7296729591176,1906.9241106826275,716.2375678006445,63.0,139.0,42.74682103586186,251.0,9.08879174877514,3.508321658410618,25.0,13.982490332999852,337846.32331389445,65243.27662561044,272603.046688284,High Profit
Cafe,Downtown,Summer,78924.48856686788,6726.293515439308,31427.571992184454,7719.371771363782,5116.8117911893005,7208.266486446429,4162.093794878994,10496.508181632176,24.0,220.0,10.501934261974627,66.0,6.28785375118718,4.72451062168396,1.0,5.338097385173689,131875.11961075326,151781.40610000232,-19906.28648924906,Loss
Fine Dining,Suburb,Summer,32611.68052720909,20385.52653731334,12476.230302603277,18929.333514272297,6128.934560810992,7867.759536080006,3118.3417258306085,8250.943195178073,43.0,294.0,35.17876456750403,543.0,24.415041231702027,3.6000103190671857,28.0,5.306280359501761,1110767.7689121377,109768.74989929768,1000999.01901284,High Profit
Casual Dining,Downtown,Summer,31363.746868304457,27524.02180270854,20275.319843410325,758.046746179662,4038.153565823039,832.2812698081173,4172.433355880521,10998.562286803386,76.0,34.0,101.21813612850859,563.0,41.0718273526849,4.149703882738226,18.0,9.258967885365024,2672563.83080718,99962.56573891804,2572601.265068262,High Profit
Casual Dining,Residential,Winter,52809.772165821734,18687.685873219307,37298.09757209563,10736.854261436312,6866.591836645377,3301.6515284113043,1692.6096455238317,4193.629955677169,31.0,181.0,34.71699366036293,69.0,55.11809090934396,4.541860019844561,23.0,9.013708606584812,178798.05173341505,135586.89283883065,43211.1588945844,Low Profit
Food Truck,Mall,Winter,77113.76049701145,40133.21190998533,30584.197752347605,15613.99481711248,1743.0154439158428,2554.360295254269,4594.775696122214,1624.4413890689873,65.0,108.0,59.28690832987575,678.0,22.11295684669668,4.528338748607014,19.0,11.069805720113159,983954.6217424168,173961.7578008182,809992.8639415986,High Profit
Fast Food,Mall,Spring,78215.72043473247,14121.15210836045,4004.0400589847277,14855.295815558107,7292.22909454828,2945.52300238541,4628.780269989478,6449.428445262219,26.0,81.0,70.0010159555455,689.0,52.074677880389245,3.742650166620548,1.0,14.841248239177181,1603796.27779615,132512.16922982116,1471284.1085663289,High Profit
Casual Dining,Airport,Spring,58040.46098502389,43136.04249458168,2309.8745894583276,7667.700549190646,6008.230285666632,2269.768111345631,2426.6341284180617,6400.382239858267,18.0,232.0,38.019949041329205,45.0,50.6803311374074,2.7827772259117896,16.0,18.0839752429659,163583.01017540853,128259.09338354315,35323.916791865384,Low Profit
Fine Dining,Mall,Summer,61595.47742272652,47069.592287669024,31921.501183455504,10945.142080817861,5121.490080340017,3184.785917383594,2061.5428883120367,11385.770698888653,7.0,251.0,67.4895226266087,646.0,43.76151169663318,3.814592714760116,25.0,9.58233775468387,2429349.912340559,173285.30255959323,2256064.609780966,High Profit
Casual Dining,Downtown,Summer,47255.163197977075,10086.200532952083,22995.009005190434,608.7572464135526,1712.6787996952858,1303.0338235981103,2918.451041008101,1832.0337979182054,12.0,36.0,114.87686490328787,270.0,36.33656030615273,3.550563480352672,17.0,12.308207833889954,1462725.23796964,88711.32744475285,1374013.910524887,High Profit
Casual Dining,Mall,Summer,61683.18043492489,40095.95587169031,29372.707555782632,10929.190259183753,3143.512555217922,2382.5825492536337,1080.9035618877615,14191.132509083322,2.0,284.0,26.185695393524757,627.0,3.0899012199983944,4.087770090204445,19.0,10.392853556375309,784834.3073883113,162879.1652970242,621955.1420912871,High Profit
